file,function/line,original_text,proposed_key,notes
ui/chat.js,renderMessages system msg,Questo spazio è per voi. Non serve avere le parole giuste.,chat.system.welcome,
ui/chat.js,renderMessages status empty,Chat attiva con un Portatore,chat.status.active,
ui/chat.js,renderMessages last reply label,Ultima risposta:,chat.status.last_reply_prefix,
ui/chat.js,showChatsList title,I Tuoi Dialoghi,chat.list.title,
ui/chat.js,showChatsList empty state headline,🌱,chat.empty_state.icon,emoji
ui/chat.js,showChatsList empty state body,Qui appariranno i tuoi dialoghi anonimi. Ogni parola è un ponte.,chat.empty_state.body,
ui/chat.js,showChatsList empty state cta,Torna al Dashboard,chat.empty_state.cta,
ui/chat.js,createChatCard new badge,Nuovo,chat.list.card.new_badge,
ui/chat.js,createChatCard preview loading,Caricamento…,chat.list.card.preview_loading,
ui/chat.js,createChatCard open link,Apri la chat,chat.list.card.open,
ui/chat.js,getChatStatus today,Attività recente oggi,chat.list.card.status.today,
ui/chat.js,getChatStatus yesterday,Ultimo messaggio ieri,chat.list.card.status.yesterday,
ui/chat.js,getChatStatus days ago,Ultimo messaggio {count} giorni fa,chat.list.card.status.days_ago,has {count}
ui/chat.js,formatChatDate today,Oggi,,use date format
ui/chat.js,formatChatDate yesterday,Ieri,,use date format
ui/chat.js,loadLastMessagePreview empty,Ancora nessun messaggio,chat.list.card.no_messages,
ui/chat.js,fetchMessages error msg,Errore recupero messaggi,errors.chat.fetch,
ui/chat.js,send submit alert,Errore invio messaggio,errors.chat.send,
ui/dashboard.js,initDashboard error,Impossibile caricare i tuoi pensieri.,errors.dashboard.load,
ui/dashboard.js,renderUcmes empty title,Nessun pensiero condiviso,dashboard.empty.title,
ui/dashboard.js,renderUcmes empty body,Non hai ancora affidato pensieri. Inizia condividendo il tuo primo pensiero.,dashboard.empty.body,
ui/dashboard.js,renderUcmes risposta section title,Risposta del Portatore,dashboard.depositor.reply.title,
ui/dashboard.js,renderUcmes mark read,Segna come letta,dashboard.depositor.reply.mark_read,
ui/dashboard.js,renderUcmes read label,Letta,dashboard.depositor.reply.read_label,
ui/dashboard.js,renderUcmes premium prompt,Attiva MC Premium per continuare il dialogo.,dashboard.depositor.premium_prompt,
ui/dashboard.js,renderUcmes premium cta,Attiva Premium,dashboard.depositor.premium_cta,
ui/dashboard.js,renderUcmes login prompt,Accedi per continuare il dialogo.,dashboard.depositor.login_prompt,
ui/dashboard.js,renderUcmes login cta,Accedi,dashboard.depositor.login_cta,
