file,selector(or line),original_text,proposed_key
index.html,header .nav-main a:nth-child(1),Home,nav.home
index.html,header .nav-main a:nth-child(2),Come funziona,nav.how_it_works
index.html,header .nav-main a:nth-child(3),MC per le scuole,nav.schools
index.html,header .nav-main a:nth-child(4),Premium,nav.premium
index.html,#nav-dashboard,Dashboard,nav.dashboard
index.html,#nav-admin,Admin,nav.admin
index.html,#nav-login,Accedi,nav.login
index.html,#onboarding-modal h2,Mental Commons è uno spazio per affidare ciò che pesa.,home.onboarding.title
index.html,#onboarding-modal p,Scrivi un pensiero difficile. Lo riceverà un Portatore, una persona reale. che risponderà con rispetto entro 48 ore. È un gesto. Non un post.,home.onboarding.body
index.html,#onboarding-modal .modal-button,Entrare,home.onboarding.cta
index.html,#user-welcome,Bentornato,home.user.welcome
index.html,.stat-label (Pensieri condivisi),Pensieri condivisi,home.user.stats.thoughts
index.html,.stat-label (Risposte ricevute),Risposte ricevute,home.user.stats.replies
index.html,.stat-label (Giorni di presenza),Giorni di presenza,home.user.stats.days_present
index.html,.hero .title,Mental Commons,home.hero.title
index.html,.hero .subtitle,Non siamo fatti per pensare da soli.,home.hero.subtitle
index.html,#main-cta,Affida ora il tuo pensiero,home.hero.cta
index.html,.trust-item (48h),⏱️ Risposta entro 48h,home.trust.response_48h
index.html,.trust-item (privacy),🛡️ Anonimo e privato,home.trust.private
index.html,.trust-item (humans),🤝 Persone reali, non bot,home.trust.humans
index.html,.ritual-stats div:nth-child(1),pensieri accolti,home.stats.ucme_label
index.html,.ritual-stats div:nth-child(2),risposte inviate,home.stats.replies_label
index.html,.ritual-stats div:nth-child(3),Portatori attivi,home.stats.portatori_label
index.html,#come-funziona h2,Come funziona,home.how_it_works.title
index.html,.step:nth-child(1) h3,Scrivi un pensiero,home.how_it_works.step1.title
index.html,.step:nth-child(1) p,Condividi la tua UCMe in forma anonima,home.how_it_works.step1.desc
index.html,.step:nth-child(2) h3,Un Portatore lo riceve,home.how_it_works.step2.title
index.html,.step:nth-child(2) p,Una persona reale legge con attenzione,home.how_it_works.step2.desc
index.html,.step:nth-child(3) h3,Il pensiero trova riposo,home.how_it_works.step3.title
index.html,.step:nth-child(3) p,Ricevi una risposta autentica entro 48 ore,home.how_it_works.step3.desc
index.html,#ucme-e-portatori h2 (UCMe),Cosa sono le UCMe,home.info.ucme.title
index.html,#ucme-e-portatori p (UCMe),Una UCMe è un pensiero difficile. Una riflessione che pesa. La puoi scrivere qui. Verrà letta da una persona, non da un algoritmo.,home.info.ucme.body
index.html,#ucme-e-portatori h2 (Depositori),Chi sono i Depositori,home.info.depositor.title
index.html,#ucme-e-portatori p (Depositori),I Depositori sono chi scrive. Chi affida. Non serve spiegare. Serve fidarsi.,home.info.depositor.body
index.html,#ucme-e-portatori h2 (Portatori),Chi sono i Portatori,home.info.portatori.title
